Semana,Horário,Localidade,Waze,Mes_Referencia,data
Primeiro Domingo, 16h , Agua Azul ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJFZ3jGQCJzpQRHEKOqOr7_vM,Data Março,2026-03-01
Primeiro Domingo, 16h , Bom Clima ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil-bom-clima?place=ChIJuQKcQwD1zpQRW0v63AnWtSM,Data Março,2026-03-01
Primeiro Domingo, 16h , Bairro Pimentas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-corumba,-157?place=ChIJ28dXgzZizpQRil9JyOOQ1iE",Data Março,2026-03-01
Terceiro Sabado, 17h , Cabuçu - Km18 ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-guilhermina,-285?place=ChIJ385oXJ70zpQRnCB-5ACm2MQ",Data Março,2026-03-21
Último Domingo, 16h , Cid. Aracilia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-cambera,-550?place=ChIJj6u5jqhizpQR35pXYgFyN9Q",Data Março,2026-03-01
Primeiro Sabado, 17h , Cid. Jard. Cumbica ,"https://www.waze.com/en/live-map/directions/br/sp/av.-joao-veloso-da-silva,-366?place=ChIJbfY1AYSKzpQRKXcsiIN7dBY",Data Março,2026-03-07
Primeira Sexta, 19:30h , Cid.Nova Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-caxambu,-181?place=ChIJNX0MFdOLzpQRWByPv-b3ZDw",Data Março,2026-03-06
Segundo Sabado, 17h , Cid. Sob. Mar. Clara ,https://www.waze.com/en/live-map/directions/br/sp/maria-clara?place=ChIJLWIHVWGJzpQRLWFq6R6Hu4Y,Data Março,2026-03-14
Primeiro Domingo, 16h , Cid. Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ponta-grossa,-574?place=ChIJhQ8P7diLzpQRxPWS_tt4dc0",Data Março,2026-03-01
Terceiro Sabado, 17h , Cid. Soinco ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJiVVcf3SKzpQRxHvOxjcjAiw,Data Março,2026-03-21
Quarto Sabado, 17h , Cid. Tupinambá ,"https://www.waze.com/en/live-map/directions/br/sp/r.-perola-negra,-312?place=ChIJGw6ExFNizpQR0dsbpvl1xxQ",Data Março,2026-03-28
Primeiro Domingo, 16h , Cumb. Base Aérea ,"https://www.waze.com/en/live-map/directions/br/sp/r.-cap.-aviador-heitor-luis-jordao,-76?place=ChIJCyxOrXuKzpQRIGH9gCgkJB8",Data Março,2026-03-01
Primeiro Domingo, 16h , Estela Maris ,"https://www.waze.com/en/live-map/directions/br/sp/rua-mato-grosso,-48?place=ChIJtbtd0371zpQR5ev3D-ts5hw",Data Março,2026-03-01
Último Sabado, 17h , Gopouva ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil-gopouva-%28central-de-guarulhos%29?place=ChIJH0WY1H71zpQRBtLVbppM5Ys,Data Março,2026-02-28
Terceira Sexta, 19:30h , Guarulhos  Centro ,"https://www.waze.com/en/live-map/directions/br/sp/r.-marcolina-moreira,-239?place=ChIJq_ZIjWD1zpQRQGkLLtejPt4",Data Março,2026-03-20
Terceiro Sabado, 17h , Inocoop ,"https://www.waze.com/en/live-map/directions/br/sp/r.-itagi,-311?place=ChIJpzLwgfKJzpQR5FmENUTPqNg",Data Março,2026-03-21
Último Domingo, 16h , Inocoop II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-petronio-portela-nunes,-79?place=ChIJ60GnvsSJzpQRAG-SwvY0YMo",Data Março,2026-03-01
Primeiro Sabado, 17h , Jd. Acácio ,"https://www.waze.com/en/live-map/directions/br/sp/r.-nestor-joao-de-oliveira,-87?place=ChIJexfh_DOLzpQRUWowli6pJrg",Data Março,2026-03-07
Quarto Sabado, 19:30h , Jd. Adriana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pedro-fernandes-biscaino,-4?place=ChIJCSE88Nn0zpQRxa5FYVgrrwQ",Data Março,2026-03-28
Último Domingo, 16h , Jd. Alamo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gentil-da-silva-leite-filho,-91?place=ChIJSYvJjBCIzpQRXi1mR__5lXY",Data Março,2026-03-01
Último Domingo, 16h , Jd. Alice ,"https://www.waze.com/en/live-map/directions/br/sp/r.-florindo-felipe,-39?place=ChIJ_-7XaP5izpQRXdE5DZZqIxQ",Data Março,2026-03-01
Primeiro Sabado, 19h , Jd. Almeida Prado ,"https://www.waze.com/en/live-map/directions/br/sp/r.-emidio-gualberto,-146?place=ChIJKUFvD9CKzpQRXtTDCHlk05Y",Data Março,2026-03-07
Terceiro Sabado, 17h , Jd. Alvorada ,"https://www.waze.com/en/live-map/directions/br/sp/r.-guaratuba,-699?place=ChIJnyCLXMuKzpQRcZgLAMk9fow",Data Março,2026-03-21
Primeiro Domingo, 16h , Jd. Angélica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-teofilo-castanho,-281?place=ChIJXywxBF1izpQRx37enfeozsw",Data Março,2026-03-01
Primeiro Sabado, 17h , Jd. Arapongas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-boca-da-mata,-186?place=ChIJrfwfCSBizpQRKjSYCPcX-Ls",Data Março,2026-03-07
Primeiro Domingo, 16h , Jd. Bela Vista ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piratininga,-57?place=ChIJI0lOkdSKzpQRN6qm9PT3riE",Data Março,2026-03-01
Quarto Domingo, 16h , Jd. Brasil ,"https://www.waze.com/en/live-map/directions/br/sp/r.-japaratinga,-135?place=ChIJ4WS8xTxizpQRJMKbsyjKAc0",Data Março,2026-03-22
Primeiro Sabado, 17h , Jd. Crepúsculo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-do-abacate,-55?place=ChIJ33tQWR71zpQRdXBg33P1vsQ",Data Março,2026-03-07
Quarto Sabado, 17h , Jd. Cumbica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-envira,-92?place=ChIJqS7wHANizpQRyXQ_76rWDMA",Data Março,2026-03-28
Quarto Domingo, 16h , Jd. das Nações ,"https://www.waze.com/en/live-map/directions/br/sp/av.-estados-unidos,-132?place=ChIJO-r-JG2KzpQRbNMXKw11a_c",Data Março,2026-03-22
Primeiro Sabado, 17h , Jd. Das Olivas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-tres,-263-jardim-joemi?place=ChIJ913U_gJjzpQRfRZSoaPEPlw",Data Março,2026-03-07
Primeiro Domingo, 10h , Jd. Do Triunfo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-lagoa-seca,-771?place=ChIJx3rFS8qJzpQRO9hnZUvNJaA",Data Março,2026-03-01
Último Sabado, 17h , Jd. Doraly ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ferrucio-biondi,-105?place=ChIJKQoHFGj0zpQRdj7-rNHj8pE",Data Março,2026-02-28
Segundo Sabado, 17h , Jd. Dos Cardosos ,"https://www.waze.com/en/live-map/directions/br/sp/r.-onze,-225?place=ChIJjevjCZn0zpQRw4-f32xTQpg",Data Março,2026-03-14
Último Sabado, 17h , Jd. Eliana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-de-fatima-kida,-326?place=ChIJmyo3Ta6KzpQRU_Caau5N9Pw",Data Março,2026-02-28
Quarto Sabado, 17h , Jd. Fátima ,"https://www.waze.com/en/live-map/directions/br/sp/r.-monica-aparecida-moredo,-148?place=ChIJR-_bKtOJzpQRaZ6zl4NnlHY",Data Março,2026-03-28
Primeiro Sabado, 17h , Jd. Flor Montanha ,"https://www.waze.com/en/live-map/directions/br/sp/r.-formosa,-145?place=ChIJEbJNUxr1zpQRzkZb7khhsGc",Data Março,2026-03-07
Último Domingo, 16h , Jd. Fortaleza - III ,"https://www.waze.com/en/live-map/directions/br/sp/r.-joao-alves-de-souza-reis-filho,-136?place=ChIJuWu4DfmLzpQRSo70ZuAHWXI",Data Março,2026-03-01
Primeiro Sabado, 17h , Jd. Fortaleza ,"https://www.waze.com/en/live-map/directions/br/sp/r.-edmundo-pereira,-114?place=ChIJiQ9WCeOLzpQRX_aJSNxrmUM",Data Março,2026-03-07
Segundo Sabado, 17h , Jd. Fortaleza II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-luis-caputo,-573?place=ChIJR9N_mvaLzpQRNRQv6jm6Uoo",Data Março,2026-03-14
Primeiro Sabado, 19:30h , Jd. Gracinda ,"https://www.waze.com/en/live-map/directions/br/sp/av.-alexandre-grandisoli,-653?place=ChIJmYXkH_H0zpQRPK-qtsLyoeA",Data Março,2026-03-07
Segundo Sabado, 17h , Jd. Guilhermino ,"https://www.waze.com/en/live-map/directions/br/sp/r.-witmorsum,-113?place=ChIJcf6irBVizpQRQgaqiSX_0SU",Data Março,2026-03-14
Terceiro Sabado, 19:30h , Jd. Hanna ,"https://www.waze.com/en/live-map/directions/br/sp/r.-paulo-henrique-groke,-30?place=ChIJmZAu0pyJzpQRxl8izKtlqOc",Data Março,2026-03-21
Último Domingo, 16h , Jd. Iporanga ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eng.-paulo-frontim,-145?place=ChIJNRU0ViD1zpQRYzzkbxUmhs4",Data Março,2026-03-01
Primeiro Sabado, 19:30h , Jd. Itapuã ,"https://www.waze.com/en/live-map/directions/br/sp/r.-bandeira-paulista,-146?place=ChIJ9dcdQt30zpQRj6ybV2bCGbI",Data Março,2026-03-07
Quarto Domingo, 16h , Jd. Jacy ,"https://www.waze.com/en/live-map/directions/br/sp/r.-constantina,-128?place=ChIJ_aiE2QhjzpQR8u1KMzBYoWA",Data Março,2026-03-22
Primeiro Sabado, 19:30h , Jd. Jade ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piaui,-469?place=ChIJn_HW5i2KzpQRQOurEH3nvSg",Data Março,2026-03-07
Último Sabado, 19:30h , Jd. Jovaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-grao-para,-124?place=ChIJb74Ugir1zpQRlFw-Q4hfpJg",Data Março,2026-02-28
Primeiro Sabado, 17h , Jd. Julieta ,"https://www.waze.com/en/live-map/directions/br/sp/r.-souza-reis,-4?place=ChIJy-wCdrH0zpQRx1PPqAJJ80A",Data Março,2026-03-07
Quarto Domingo, 16h , Jd. Leda ,"https://www.waze.com/en/live-map/directions/br/sp/rua-madame-curie,-551?place=ChIJ8wugNBL1zpQRm1D1NUh0DiM",Data Março,2026-03-22
Primeiro Domingo, 16h , Jd. Lenize ,"https://www.waze.com/en/live-map/directions/br/sp/r.-angicos,-164?place=ChIJ_wZqGsmLzpQRbF2D-d_ntqk",Data Março,2026-03-01
Quarto Domingo, 16h , Jd. Maria Dirce ,"https://www.waze.com/en/live-map/directions/br/sp/r.-joao-alves-da-silva,-101?place=ChIJDTNNQOSJzpQRHTeBDOheq_0",Data Março,2026-03-22
Segundo Sabado, 19:30h , Jd. Marilena ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-jose-alves,-184?place=ChIJlakWDh-LzpQRoDIBwVPlTgM",Data Março,2026-03-14
Último Domingo, 16h , Jd. Monte Alegre ,"https://www.waze.com/en/live-map/directions/br/sp/r.-manuel-calles,-250?place=ChIJ-YM6YThizpQR_Gcx-0j6RwE",Data Março,2026-03-01
Quarto Sabado, 17h , Jd. Munhoz ,"https://www.waze.com/en/live-map/directions/br/sp/av.-santana,-571?place=ChIJZeZPWHVfzpQR8s9cwjAre0s",Data Março,2026-03-28
Segundo Sabado, 17h , Jd. Munira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-servidao-da-passagem,-246?place=ChIJkxmse6aLzpQRxANMMbcqAGE",Data Março,2026-03-14
Quarto Domingo, 16h , Jd. Normandia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jararatuba,-146?place=ChIJOcRWmIpizpQRGY5ABmPcGJs",Data Março,2026-03-22
Segundo Sabado, 17h , Jd. Nova Canaã ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJc2bvdpJizpQRXG7isbWf5gU,Data Março,2026-03-14
Primeiro Domingo, 16h , Jd. Nova Cumbica ,https://www.waze.com/en/live-map/directions/br/sp/ccb-jardim?place=ChIJ3bvRFNthzpQRTPzZ15sIoWU,Data Março,2026-03-01
Terceiro Sabado, 17h , Jd. Novo Portugal ,"https://www.waze.com/en/live-map/directions/br/sp/av.-marcial-lourenco-serodio,-529?place=ChIJ7Yx-CDaKzpQR0ZSGeO4uJgQ",Data Março,2026-03-21
Quarto Domingo, 16h , Jd. Oliveira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-utinga,-325?place=ChIJVectTRFizpQR4wb4tNUVsr0",Data Março,2026-03-22
Quarto Domingo, 16h , Jd. Otawa ,"https://www.waze.com/en/live-map/directions/br/sp/r.-japura,-80?place=ChIJi6IjoeRhzpQR_YWdws7S1K0",Data Março,2026-03-22
Segundo Sabado, 17h , Jd. Palmira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-vivencia-espirito-santo,-47?place=ChIJ7YhQslv0zpQR-zZY2de_Tyk",Data Março,2026-03-14
Segundo Sabado, 17h , Jd. Papai ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sd.-romeu-cocco,-299?place=ChIJsQpTwFT0zpQRyIEeHk56Yj8",Data Março,2026-03-14
Quarto Domingo, 16h , Jd. Paraíso - Tab. ,"https://www.waze.com/en/live-map/directions/br/sp/r.-taquarituba,-107?place=ChIJtViUSyWLzpQRZIgGqFG5hS8",Data Março,2026-03-22
Primeiro Domingo, 16h , Jd. Pinhal ,"https://www.waze.com/en/live-map/directions/br/sp/av.-avelino-alves-machado,-197?place=ChIJhSonck_1zpQR-3Qj7Pc1HZU",Data Março,2026-03-01
Primeiro Sabado, 17h , Jd. Ponte Alta ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jose-luis-alves-de-souza,-127?place=ChIJ9XpqiLuJzpQR_cI7Jb-w3Ho",Data Março,2026-03-07
Último Domingo, 16h , Jd. Ponte Alta II ,"https://www.waze.com/en/live-map/directions/br/sp/av.-luiz-gonzaga-do-nascimento,-494?place=ChIJz9KJ25-JzpQRqUIHG0Y24vk",Data Março,2026-03-01
Primeiro Sabado, 17h , Jd. Pres. Dutra ,"https://www.waze.com/en/live-map/directions/br/sp/praca-alvorada-do-sul,-24?place=ChIJAQDU3vmJzpQRUv2NBKdftJs",Data Março,2026-03-07
